product_id,product_name,category,actual_price_int,discounted_price_int,discount_percentage,total_discount,rating,popular_product
B085W8CFLH,"PTron Tangent Lite Bluetooth 5.0 Earphones with Mic, Hi-Fi Stereo Sound Neckband, 8Hrs Playtime, Lightweight Snug-fit in-Ear Headphones, IPX4 Water Resistant, Fast Charge & Voice Assistant (Black)","Electronics|Headphones,Earbuds&Accessories|Headphones|In-Ear",1800,599,67,1201,3.5,83996.0
B01EZ0X3L8,"SanDisk Ultra 64 GB USB Pen Drives (SDDDC2-064G-I35, Black, Silver)",Computers&Accessories|ExternalDevices&DataStorage|PenDrives,1650,729,56,921,4.3,82356.0
B07TCN5VR9,Boult Audio BassBuds X1 in-Ear Wired Earphones with 10mm Extra Bass Driver and HD Sound with mic(Black),"Electronics|Headphones,Earbuds&Accessories|Headphones|In-Ear",999,329,67,670,3.9,77027.0
B08MTLLSL8,boAt Bassheads 102 Wired in Ear Earphones with Mic (Mint Green),"Electronics|Headphones,Earbuds&Accessories|Headphones|In-Ear",1290,399,69,891,4.2,76042.0
B00NH13Q8W,"AmazonBasics USB 2.0 Extension Cable for Personal Computer, Printer, 2-Pack - A-Male to A-Female - 3.3 Feet (1 Meter, Black)",Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,800,299,63,501,4.5,74977.0
B00NH11PEY,"AmazonBasics USB 2.0 - A-Male to A-Female Extension Cable for Personal Computer, Printer (Black, 9.8 Feet/3 Meters)",Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,750,199,73,551,4.5,74976.0
B07VTFN6HM,"Western Digital WD 2TB My Passport Portable Hard Disk Drive, USB 3.0 with  Automatic Backup, 256 Bit AES Hardware Encryption,Password Protection,Compatible with Windows and Mac, External HDD-Black",Computers&Accessories|ExternalDevices&DataStorage|ExternalHardDisks,7350,5599,24,1751,4.4,73005.0
B09MQSCJQ1,"boAt Xtend Smartwatch with Alexa Built-in, 1.69” HD Display, Multiple Watch Faces, Stress Monitor, Heart & SpO2 Monitoring, 14 Sports Modes, Sleep Monitor, 5 ATM & 7 Days Battery(Charcoal Black)",Electronics|WearableTechnology|SmartWatches,7990,2299,71,5691,4.2,69622.0
B09MQSCJQ1,"boAt Xtend Smartwatch with Alexa Built-in, 1.69” HD Display, Multiple Watch Faces, Stress Monitor, Heart & SpO2 Monitoring, 14 Sports Modes, Sleep Monitor, 5 ATM & 7 Days Battery(Charcoal Black)",Electronics|WearableTechnology|SmartWatches,7990,2299,71,5691,4.2,69622.0
B09MQSCJQ1,"boAt Xtend Smartwatch with Alexa Built-in, 1.69” HD Display, Multiple Watch Faces, Stress Monitor, Heart & SpO2 Monitoring, 14 Sports Modes, Sleep Monitor, 5 ATM & 7 Days Battery(Charcoal Black)",Electronics|WearableTechnology|SmartWatches,7990,2299,71,5691,4.2,69619.0
B09MQSCJQ1,"boAt Xtend Smartwatch with Alexa Built-in, 1.69” HD Display, Multiple Watch Faces, Stress Monitor, Heart & SpO2 Monitoring, 14 Sports Modes, Sleep Monitor, 5 ATM & 7 Days Battery(Charcoal Black)",Electronics|WearableTechnology|SmartWatches,7990,2299,71,5691,4.2,69619.0
B08GYG6T12,"SanDisk Ultra SDHC UHS-I Card 32GB 120MB/s R for DSLR Cameras, for Full HD Recording, 10Y Warranty",Electronics|Accessories|MemoryCards|SecureDigitalCards,800,449,44,351,4.4,69585.0
B01D5H8LDM,"AmazonBasics 3.5mm to 2-Male RCA Adapter Cable For Tablet, Smartphone (Black, 15 feet)","Electronics|HomeTheater,TV&Video|Accessories|Cables|RCACables",1200,489,59,711,4.4,69538.0
B076B8G5D8,Boya ByM1 Auxiliary Omnidirectional Lavalier Condenser Microphone with 20ft Audio Cable (Black),MusicalInstruments|Microphones|Condenser,1995,798,60,1197,4.0,68664.0
B0759QMF85,"TP-Link AC750 Dual Band Wireless Cable Router, 4 10/100 LAN + 10/100 WAN Ports, Support Guest Network and Parental Control, 750Mbps Speed Wi-Fi, 3 Antennas (Archer C20) Blue, 2.4 GHz",Computers&Accessories|NetworkingDevices|Routers,2399,1529,36,870,4.3,68409.0
B0BDRVFDKP,"SanDisk Ultra® microSDXC™ UHS-I Card, 64GB, 140MB/s R, 10 Y Warranty, for Smartphones",Electronics|Accessories|MemoryCards|MicroSD,1000,569,43,431,4.4,67262.0
B0BDRVFDKP,"SanDisk Ultra® microSDXC™ UHS-I Card, 64GB, 140MB/s R, 10 Y Warranty, for Smartphones",Electronics|Accessories|MemoryCards|MicroSD,1000,569,43,431,4.4,67262.0
B08L5FM4JC,"SanDisk Ultra microSD UHS-I Card 64GB, 120MB/s R",Electronics|Accessories|MemoryCards|MicroSD,2400,649,73,1751,4.4,67260.0
B0BDYW3RN3,"SanDisk Ultra® microSDXC™ UHS-I Card, 256GB, 150MB/s R, 10 Y Warranty, for Smartphones",Electronics|Accessories|MemoryCards|MicroSD,3500,1989,43,1511,4.4,67260.0
B0BDYVC5TD,"SanDisk Ultra® microSDXC™ UHS-I Card, 128GB, 140MB/s R, 10 Y Warranty, for Smartphones",Electronics|Accessories|MemoryCards|MicroSD,1800,959,47,841,4.4,67259.0
B0BDRVFDKP,"SanDisk Ultra® microSDXC™ UHS-I Card, 64GB, 140MB/s R, 10 Y Warranty, for Smartphones",Electronics|Accessories|MemoryCards|MicroSD,1000,569,43,431,4.4,67259.0
B08L5HMJVW,"SanDisk Ultra microSD UHS-I Card 32GB, 120MB/s R",Electronics|Accessories|MemoryCards|MicroSD,700,369,47,331,4.4,67259.0
B0BDRVFDKP,"SanDisk Ultra® microSDXC™ UHS-I Card, 64GB, 140MB/s R, 10 Y Warranty, for Smartphones",Electronics|Accessories|MemoryCards|MicroSD,1000,569,43,431,4.4,67259.0
B07YNTJ8ZM,"Zebronics ZEB-COUNTY 3W Wireless Bluetooth Portable Speaker With Supporting Carry Handle, USB, SD Card, AUX, FM & Call Function. (Green)",Electronics|HomeAudio|Speakers|BluetoothSpeakers,999,549,45,450,3.9,64705.0
B01L8ZNWN2,"HP v236w USB 2.0 64GB Pen Drive, Metal",Computers&Accessories|ExternalDevices&DataStorage|PenDrives,1500,475,68,1025,4.2,64273.0
B07B88KQZ8,"JBL Go 2, Wireless Portable Bluetooth Speaker with Mic, JBL Signature Sound, Vibrant Color Options with IPX7 Waterproof & AUX (Blue)",Electronics|HomeAudio|Speakers|BluetoothSpeakers,2999,1999,33,1000,4.3,63899.0
B01MQZ7J8K,"Prestige Electric Kettle PKOSS - 1500watts, Steel (1.5Ltr), Black",Home&Kitchen|Kitchen&HomeAppliances|SmallKitchenAppliances|Kettles&HotWaterDispensers|ElectricKettles,1445,749,48,696,3.9,63350.0
B01J0XWYKQ,"Logitech B170 Wireless Mouse, 2.4 GHz with USB Nano Receiver, Optical Tracking, 12-Months Battery Life, Ambidextrous, PC/Mac/Laptop - Black","Computers&Accessories|Accessories&Peripherals|Keyboards,Mice&InputDevices|Mice",895,599,33,296,4.4,61314.0
